Year,City,State, North Carolina , Virginia ,VA_Win,NC_Win,Home-VA,Home-NC,ScoreDiff
1892, Charlottesville, VA ,18,30,Yes,No,Yes,No,12
1892, Atlanta, GA ,26,0,No,Yes,No,Yes,-26
1893, Richmond, VA ,0,16,Yes,No,Yes,No,16
1894, Richmond, VA ,0,34,Yes,No,Yes,No,34
1895, Richmond, VA ,0,6,Yes,No,Yes,No,6
1896, Richmond, VA ,0,46,Yes,No,Yes,No,46
1897, Richmond, VA ,0,12,Yes,No,Yes,No,12
1898, Richmond, VA ,6,2,No,Yes,Yes,No,-4
1900, Norfolk, VA ,0,17,Yes,No,Yes,No,17
1901, Norfolk, VA ,6,23,Yes,No,Yes,No,17
1902, Richmond, VA ,12,12,Tie,Tie,Yes,No,0
1903, Richmond, VA ,16,0,No,Yes,Yes,No,-16
1904, Richmond, VA ,11,12,Yes,No,Yes,No,1
1905, Norfolk, VA ,17,0,No,Yes,Yes,No,-17
1907, Richmond, VA ,4,9,Yes,No,Yes,No,5
1908, Richmond, VA ,0,31,Yes,No,Yes,No,31
1910, Richmond, VA ,0,7,Yes,No,Yes,No,7
1911, Richmond, VA ,0,28,Yes,No,Yes,No,28
1912, Richmond, VA ,0,66,Yes,No,Yes,No,66
1913, Richmond, VA ,7,26,Yes,No,Yes,No,19
1914, Richmond, VA ,3,20,Yes,No,Yes,No,17
1915, Richmond, VA ,0,14,Yes,No,Yes,No,14
1916, Richmond, VA ,7,0,No,Yes,Yes,No,-7
1919, Chapel Hill, NC ,6,0,No,Yes,No,Yes,-6
1920, Charlottesville, VA ,0,14,Yes,No,Yes,No,14
1921, Chapel Hill, NC ,7,3,No,Yes,No,Yes,-4
1922, Charlottesville, VA ,10,7,No,Yes,Yes,No,-3
1923, Chapel Hill, NC ,0,0,Tie,Tie,No,Yes,0
1924, Charlottesville, VA ,0,7,Yes,No,Yes,No,7
1925, Chapel Hill, NC ,3,3,Tie,Tie,No,Yes,0
1926, Charlottesville, VA ,0,3,Yes,No,Yes,No,3
1927, Chapel Hill, NC ,14,13,No,Yes,No,Yes,-1
1928, Charlottesville, VA ,24,20,No,Yes,Yes,No,-4
1929, Chapel Hill, NC ,41,7,No,Yes,No,Yes,-34
1930, Charlottesville, VA ,41,0,No,Yes,Yes,No,-41
1931, Chapel Hill, NC ,13,6,No,Yes,No,Yes,-7
1932, Charlottesville, VA ,7,14,Yes,No,Yes,No,7
1933, Chapel Hill, NC ,14,0,No,Yes,No,Yes,-14
1934, Charlottesville, VA ,25,6,No,Yes,Yes,No,-19
