7,9,9,11,12,8.5,8,8,8.5,12,15,16,19,19,21,18,17.5,18.5,18.5,17,20,21.5,23,23
6,6,6.5,6.5,7,8.5,10,10,11,13,15.5,16,17,17,16.5,16,17,15.5,14,14,16,20.5,23.5,20.5
6,6,6,9,10.5,10.5,10,9,9,12.5,13,14.5,14.5,12,12,12,13.5,14,14.5,15,17,19.5,19.5,16.5
6,8.5,8.5,14.5,12.5,11,7,7,10,9.5,9.5,9.5,8,7.5,7.5,10,12.5,12.5,12.5,13.5,15.5,17.5,12,12.5
11.5,14.5,14.5,14.5,12.5,6,3.5,6,8.5,8.5,8,7,7,5,6.5,9,9,10,12.5,12.5,12,10,10,6.5
17.5,17.5,11.5,9,9,6,5.5,7.5,7,5,3,2.5,3.5,4.5,5.5,6,6,9,11.5,9.5,7.5,5.5,4.5,4
22,23,13.5,8,9,8,10,8.5,4.5,3,3,2,4,9,7.5,8.5,8.5,8.5,6.5,4.5,3,1.5,1.5,4
19,19,16.5,14,9.5,8,9.5,6,6.5,4,3,5,9,13,14,11.5,8,5,4.5,4.5,2,1,1,2
15,17.5,22.5,18.5,11.5,6,3.5,2,4,6,6,6,14,21,17,9.5,5.5,5,6,5,3,2,3.5,8
22.5,19.5,20,23.5,21.5,11.5,4,2,2,6,8,12,25,25,19,9.5,6,6,5.5,5,4,6.5,9.5,14
27,24.5,22.5,24,19.5,12.5,9.5,7.5,6,8.5,10,20.5,38.5,37,26.5,18.5,16.5,11.5,8.5,6.5,7.5,13,13,17
24,24,23.5,28.5,27,23.5,19,14.5,14,15.5,15.5,17.5,25,37.5,39,33.5,25.5,26.5,16,13.5,14.5,18,20.5,16
7,7.5,4.5,6.5,10.5,11.5,12.5,12.5,15.5,19,15,16.5,22,33,33.5,31.5,27,17.5,18,22,20.5,24.5,21,14
1,1,0.5,0,0.5,1,0.5,0.5,1,1.5,1,1.5,5,13,23.5,26.5,20,24.5,28.5,32,29.5,24.5,17,15.5
0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,3,17,28,23.5,35,38.5,37,27.5,25.5,24.5,18.5
0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,18.5,28.5,34,36,41,38.5,37,38,37,29.5
0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,32.5,36.5,37.5,42.5,40,43.5,43,41,38.5
0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,16,31,32,34,33.5,41,39.5,45.5,44.5,45.5
0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,6,24,28,28.5,29.5,34,36,43,43.5,46
0,0,0,0,0,0,0,0,0,0,0,0.5,2,2.5,10,26.5,30.5,25.5,28,31,39,41,41,40.5
0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,1.5,2.5,4,14,27.5,34,27.5,28,29,33.5,37.5,38.5
0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,2,3.5,4,10.5,17.5,27,27.5,27.5,28,28,30
0,0,0,0,0,0,0,0,0,0,0.5,1,1,1.5,3,4,5,6,15.5,15.5,24,26.5,23.5,23.5
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.5,2.5,2.5,4.5,13,16.5,19,21,22.5
