24,18,18,15,23,29.5,29.5,29.5,27,28.5,33.5,33.5,30,30,28.5,35,49,43.5,43.5,42,42.5,46,42.5,42.5
26.5,26.5,20.5,19,30,38,29,29,26.5,23,22.5,21.5,21.5,21.5,22.5,34.5,39,32.5,34,34,36,37.5,36.5,40.5
28,28,20.5,20,28.5,35,30.5,25.5,25.5,22,20,20.5,20,23,32,32,31.5,26,30,32,35,33.5,33.5,33.5
31,16.5,16.5,14.5,25,36,32,23.5,23,23.5,23.5,22.5,20.5,19.5,25.5,22.5,22,25,25,29,34.5,33,31,31.5
21,20.5,16,16,14,27.5,38.5,22.5,26.5,27.5,26,27,27,20,20,23.5,25.5,26,30.5,31.5,33.5,33.5,33.5,34.5
26,16.5,14.5,12.5,12.5,10,28.5,26.5,27.5,25.5,26.5,28,20.5,20.5,22,24.5,24.5,24,23.5,27,30,31.5,32.5,31
44,28,19.5,20,11.5,16,24,31.5,30,19.5,19.5,19,22,20,20,20,17,18,19.5,20.5,28.5,27.5,27,30
42.5,42.5,28,25.5,18,17,15,21.5,28.5,21.5,19,23,23,21,17.5,14.5,22,18.5,14.5,14.5,18,24.5,25.5,33.5
51.5,39.5,37.5,32,24,18,14,19,18,18.5,18.5,18,20.5,21,19.5,18,17,16.5,18,15.5,22,27.5,31.5,34.5
46,41,37,34.5,30,26,25,25,27,23.5,22.5,22,17.5,24.5,31,28.5,24,21,22,22.5,28.5,35.5,32.5,29
33,31,28,30.5,26,26.5,27,29,29,31,34.5,21.5,26.5,33.5,36,24.5,20.5,18.5,21.5,25.5,26,29,29,29.5
28,26,23.5,22.5,23,28.5,24.5,27.5,27,26,26,30,20.5,18,23.5,18,14.5,9.5,14.5,21,25,22.5,21,25.5
26.5,25,24,25.5,25.5,28,27,25.5,25.5,28,28,24,26,32.5,29,6.5,6,10,18.5,17.5,16,18.5,17.5,20.5
28,30.5,27.5,25.5,31,31.5,29,31.5,33,34,35,37,39,39,26,5,8,10,9.5,10,12.5,22,20.5,16
19.5,21,18.5,16,16.5,16,16.5,20.5,19.5,22.5,26,35.5,44.5,33.5,10.5,3.5,7,6.5,8,9,10,15,11.5,10.5
17.5,17.5,18.5,19.5,14,14,16,18,21.5,23.5,17.5,25.5,42,27,4.5,5.5,7.5,8,9,8.5,7.5,8.5,7.5,9.5
29,30.5,34.5,33,27,26.5,26.5,28,29.5,34.5,29,21,26.5,28,5,6.5,9,9,7.5,9,7.5,8,8.5,8.5
31.5,30,32.5,37,42,42.5,43,34.5,31,36,47.5,41.5,20.5,13,12.5,8.5,11.5,10.5,8.5,9,10,9.5,8.5,7.5
32,31,31.5,32.5,37,36,41,42,41.5,45,45,49,46.5,27.5,15.5,9.5,11,13.5,12.5,10,11.5,11,10,7.5
29,33.5,34,33.5,36,37,40,44,48,52.5,55,59,54,32.5,11.5,10,11.5,14.5,14.5,16,15,14.5,14.5,13
28.5,32,35,38.5,39,46.5,49.5,50.5,55,56,60,67,71.5,60,29.5,8.5,5.5,9,15,19.5,18.5,18,19,17
35,34.5,37,40.5,40,45.5,55.5,57.5,54.5,54.5,54.5,58,72,77.5,76,48,24.5,10,10.5,12.5,14,17.5,20.5,20.5
31,31,31.5,36.5,42,44,49,54.5,59.5,62,61.5,60.5,69.5,80,83.5,79.5,76.5,19.5,12.5,12.5,11.5,21.5,18,15.5
33.5,31,35.5,42.5,41.5,46,51,53.5,58,62.5,62.5,62,61,66.5,74.5,79.5,83.5,64,8,11,24.5,32.5,18.5,14
