20.5,16.5,16.5,17,22,30,28,28,27.5,25.5,24.5,26,27.5,27.5,23.5,21,27.5,28.5,28.5,22.5,23.5,21,20,20
14.5,14.5,14,15,19.5,21.5,20,20,21.5,23,23.5,26.5,21,21,19,18,17.5,21,20,20,18,17,17,15
9,9,12.5,14.5,18.5,20.5,19.5,19,19,19.5,21,20.5,19,13,11.5,11.5,12.5,14.5,16,13.5,15,14,14,14.5
10,13,13,14,15.5,19,17,13,10.5,9.5,9.5,10,10.5,11,10,12,12,12.5,12.5,11.5,11.5,12.5,11.5,11.5
12.5,10.5,15.5,15.5,14,16.5,16.5,13.5,9.5,7.5,8,9,9,9,10,9.5,9,9,10,10.5,10,10,10,8.5
13.5,10,13,15.5,15.5,14.5,15.5,10.5,9,8,6,6,7.5,10,12,9.5,9.5,9.5,11.5,10.5,8.5,7.5,6,6.5
14,12.5,12,14,14,13,14,12,8,5.5,5.5,6.5,8,9,10.5,13.5,13.5,11,9.5,6.5,6,4.5,4.5,7.5
14,14,11,11.5,11.5,14,14,19,14,9,8.5,11.5,11.5,11.5,11.5,12,12,11,8,8,5,2.5,2.5,4
15,12.5,14,12,10,7.5,7.5,10.5,15.5,20.5,20.5,19,17.5,11.5,11.5,10.5,8.5,8.5,7,6.5,4,4.5,5,7.5
16.5,16,14.5,16,13.5,10.5,7,4.5,6.5,14,18,25.5,22,15,13,12,11,10.5,13,10,7.5,8.5,8.5,11
17,17,19,16.5,13,11,10.5,8.5,9,12.5,15,24,24,17.5,16.5,17.5,22.5,19,17.5,13,14.5,16,16,19
19,21,22,17.5,18,17,15.5,13.5,14.5,15,15,15.5,20.5,22.5,21,19.5,21.5,26,25,19,18,20.5,20.5,19
14,13.5,16,18,18.5,19.5,19.5,21,21.5,20,19,20,23.5,21,22,23.5,25,28,19,22.5,23,22.5,22,18.5
3.5,4,3.5,4.5,3.5,4,6.5,8,8.5,9,10.5,12,16,21,24.5,32,32.5,24,23.5,24,27.5,22.5,20,23
1.5,1,1,1,0.5,1,1.5,1.5,2,2,4.5,7,11,17,31,32,27,28.5,27,26,25.5,23,25.5,27
0.5,0.5,0.5,0,0,0,0,0,0,1,2,4,6,16.5,34.5,27,24,27,25,24.5,24.5,25.5,27.5,27.5
0,0,0,0,0,0,0,0,0,0.5,1.5,2,4.5,16,35,26,26,26.5,25,26.5,23.5,27,27,27
0,0,0,0,0,0,0,0,0,0,0,1.5,4.5,13.5,30,30,23.5,25.5,26,25.5,24.5,25,26.5,29.5
0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.5,4,8,19,34,25,25.5,27,25.5,25,24.5,26.5,29
1,0,0.5,0.5,0.5,0.5,1.5,0.5,1.5,2,3.5,7,11,12,18.5,31.5,27,24.5,22.5,22,23,26.5,26.5,28
4.5,4,4.5,2,2,2.5,2,3,3.5,5.5,8,14.5,12,12.5,14.5,17.5,34.5,27,23.5,19,20.5,25,25.5,25.5
3.5,2.5,3.5,4,3,3.5,4,3,4.5,4,4,13.5,16.5,17,16,16,16,22.5,27.5,24,18.5,19,21.5,22
1.5,1.5,2,2,5,2,4.5,4.5,2,4.5,8.5,15,24.5,34.5,36,28,17.5,18.5,23,23,23.5,20.5,21.5,18
1.5,2,1.5,2,3.5,2.5,2.5,2.5,4,5.5,5.5,14,21.5,25,31,40,35.5,21,20.5,23,26.5,19,14.5,12.5
